p_out,placement,seed,radical_fraction,bridge_radical
0.004,nonbridge_biased,41,0.21536666666666668,0.30871428571428566
0.004,nonbridge_biased,42,0.24013333333333334,0.2762857142857143
0.004,nonbridge_biased,43,0.24963333333333332,0.22071428571428572
0.004,nonbridge_biased,44,0.26538333333333336,0.26228571428571434
0.004,nonbridge_biased,45,0.20585,0.20242857142857143
0.004,nonbridge_biased,46,0.22603333333333334,0.28785714285714287
0.004,nonbridge_biased,47,0.24956666666666663,0.31842857142857145
0.004,nonbridge_biased,48,0.22163333333333335,0.24028571428571427
0.004,nonbridge_biased,49,0.23396666666666663,0.2631428571428571
0.004,nonbridge_biased,50,0.23676666666666668,0.3032857142857143
0.01,bridge_biased,1,0.23993333333333333,0.35228571428571426
0.01,bridge_biased,2,0.1965,0.20485714285714282
0.01,bridge_biased,3,0.2385,0.2868571428571428
0.01,bridge_biased,4,0.2033,0.334
0.01,bridge_biased,5,0.21025,0.2444285714285714
0.01,bridge_biased,6,0.2121333333333333,0.3002857142857143
0.01,bridge_biased,7,0.2300833333333333,0.3534285714285714
0.01,bridge_biased,8,0.2121333333333333,0.25857142857142856
0.01,bridge_biased,9,0.21858333333333335,0.24657142857142855
0.01,bridge_biased,10,0.23586666666666667,0.376
0.01,bridge_biased,11,0.24114999999999998,0.32457142857142857
0.01,bridge_biased,12,0.2142166666666667,0.23485714285714282
0.01,bridge_biased,13,0.2349,0.284
0.01,bridge_biased,14,0.25488333333333335,0.2988571428571428
0.01,bridge_biased,15,0.23075,0.33471428571428574
0.01,bridge_biased,16,0.22516666666666665,0.337
0.01,bridge_biased,17,0.17943333333333333,0.167
0.01,bridge_biased,18,0.2399,0.351
0.01,bridge_biased,19,0.24105,0.22428571428571428
0.01,bridge_biased,20,0.22865,0.27442857142857147
0.01,bridge_biased,21,0.23564999999999997,0.23271428571428573
0.01,bridge_biased,22,0.23646666666666666,0.3312857142857143
0.01,bridge_biased,23,0.19408333333333333,0.22085714285714284
0.01,bridge_biased,24,0.22753333333333334,0.3211428571428571
0.01,bridge_biased,25,0.24728333333333335,0.2577142857142857
0.01,bridge_biased,26,0.23155,0.2524285714285714
0.01,bridge_biased,27,0.23596666666666663,0.24842857142857144
0.01,bridge_biased,28,0.19091666666666665,0.28757142857142853
0.01,bridge_biased,29,0.2389,0.3408571428571429
0.01,bridge_biased,30,0.22019999999999998,0.19228571428571428
0.01,bridge_biased,31,0.22421666666666665,0.202
0.01,bridge_biased,32,0.2405,0.21571428571428566
0.01,bridge_biased,33,0.20886666666666667,0.21228571428571427
0.01,bridge_biased,34,0.22413333333333332,0.2481428571428571
0.01,bridge_biased,35,0.23108333333333334,0.21328571428571427
0.01,bridge_biased,36,0.21991666666666668,0.2587142857142857
0.01,bridge_biased,37,0.21091666666666667,0.2431428571428571
0.01,bridge_biased,38,0.19921666666666668,0.2061428571428571
0.01,bridge_biased,39,0.22053333333333336,0.16685714285714287
0.01,bridge_biased,40,0.24653333333333333,0.3838571428571429
0.01,bridge_biased,41,0.25401666666666667,0.21885714285714286
0.01,bridge_biased,42,0.2207833333333333,0.22857142857142856
0.01,bridge_biased,43,0.24668333333333334,0.29714285714285715
0.01,bridge_biased,44,0.21253333333333335,0.26728571428571435
0.01,bridge_biased,45,0.23445,0.3612857142857143
0.01,bridge_biased,46,0.21541666666666665,0.30142857142857143
0.01,bridge_biased,47,0.23139999999999997,0.3848571428571429
0.01,bridge_biased,48,0.20998333333333333,0.22171428571428572
0.01,bridge_biased,49,0.22585000000000002,0.2967142857142857
0.01,bridge_biased,50,0.22238333333333332,0.26042857142857145
0.01,nonbridge_biased,1,0.24833333333333338,0.3408571428571429
0.01,nonbridge_biased,2,0.21121666666666666,0.23457142857142854
0.01,nonbridge_biased,3,0.24838333333333332,0.3142857142857143
0.01,nonbridge_biased,4,0.21630000000000002,0.3828571428571429
0.01,nonbridge_biased,5,0.21658333333333335,0.23742857142857143
0.01,nonbridge_biased,6,0.20638333333333334,0.2978571428571428
0.01,nonbridge_biased,7,0.23381666666666667,0.33542857142857146
0.01,nonbridge_biased,8,0.21059999999999995,0.2624285714285714
0.01,nonbridge_biased,9,0.22201666666666667,0.2578571428571429
0.01,nonbridge_biased,10,0.25075,0.327
0.01,nonbridge_biased,11,0.22988333333333333,0.29157142857142854
0.01,nonbridge_biased,12,0.23591666666666666,0.2808571428571429
0.01,nonbridge_biased,13,0.24186666666666665,0.2641428571428572
0.01,nonbridge_biased,14,0.24639999999999998,0.25757142857142856
0.01,nonbridge_biased,15,0.18153333333333332,0.22357142857142856
0.01,nonbridge_biased,16,0.22538333333333332,0.193
0.01,nonbridge_biased,17,0.178,0.1637142857142857
