theta,placement,seed,peak_D,early_D,tail_D,peak_dcomm,bridge_radical_tail
0.0,bridge_biased,24,0.8291666666666667,0.13549999999999998,0.0,6.0,0.4498571428571428
0.0,bridge_biased,25,0.8291666666666667,0.18504166666666666,0.0,6.0,0.2715714285714286
0.0,bridge_biased,26,0.7916666666666666,0.13541666666666663,0.0,6.0,0.341
0.0,bridge_biased,27,0.8333333333333334,0.1479583333333333,0.0,6.0,0.2662857142857143
0.0,bridge_biased,28,0.7833333333333333,0.16412499999999997,0.0,6.0,0.27442857142857147
0.0,bridge_biased,29,0.8125,0.15404166666666666,0.0,6.0,0.197
0.0,bridge_biased,30,0.7875,0.14687499999999998,0.0,6.0,0.2838571428571428
0.0,bridge_biased,31,0.825,0.14904166666666666,0.0,6.0,0.3462857142857143
0.0,bridge_biased,32,0.7708333333333334,0.151875,0.0,6.0,0.268
0.0,bridge_biased,33,0.8375,0.15583333333333335,0.0,6.0,0.25857142857142856
0.0,bridge_biased,34,0.7958333333333333,0.14179166666666665,0.0,6.0,0.21085714285714285
0.0,bridge_biased,35,0.8458333333333333,0.142375,0.0,6.0,0.22528571428571428
0.0,bridge_biased,36,0.8375,0.15866666666666665,0.0,6.0,0.32057142857142856
0.0,bridge_biased,37,0.7625,0.11654166666666665,0.0,6.0,0.22671428571428573
0.0,bridge_biased,38,0.8333333333333334,0.16104166666666667,0.0,6.0,0.30357142857142855
0.0,bridge_biased,39,0.8083333333333333,0.15775000000000003,0.0,6.0,0.28457142857142853
0.0,bridge_biased,40,0.775,0.20083333333333328,0.0,6.0,0.2834285714285714
0.0,bridge_biased,41,0.8083333333333333,0.13329166666666661,0.0,6.0,0.312
0.0,bridge_biased,42,0.825,0.16129166666666667,0.0,6.0,0.3372857142857143
0.0,bridge_biased,43,0.85,0.1664583333333334,0.0,6.0,0.213
0.0,bridge_biased,44,0.8291666666666667,0.12812499999999996,0.0,6.0,0.24914285714285714
0.0,bridge_biased,45,0.8,0.1445,0.0,6.0,0.22628571428571428
0.0,bridge_biased,46,0.8041666666666667,0.18141666666666667,0.0,6.0,0.22371428571428573
0.0,bridge_biased,47,0.8041666666666667,0.16454166666666667,0.0,6.0,0.37057142857142855
0.0,bridge_biased,48,0.825,0.14687499999999998,0.0,6.0,0.3232857142857143
0.0,bridge_biased,49,0.7541666666666667,0.146375,0.0,6.0,0.26685714285714285
0.0,bridge_biased,50,0.7875,0.1507083333333333,0.0,6.0,0.36457142857142855
0.0,nonbridge_biased,1,0.8041666666666667,0.154,0.0,6.0,0.27742857142857147
0.0,nonbridge_biased,2,0.7958333333333333,0.12729166666666664,0.0,6.0,0.27942857142857147
0.0,nonbridge_biased,3,0.7958333333333333,0.16054166666666667,0.0,6.0,0.27142857142857146
0.0,nonbridge_biased,4,0.7791666666666667,0.1784166666666667,0.0,6.0,0.265
0.0,nonbridge_biased,5,0.7916666666666666,0.14075,0.0,6.0,0.3181428571428571
0.0,nonbridge_biased,6,0.8125,0.14995833333333333,0.0,6.0,0.26171428571428573
0.0,nonbridge_biased,7,0.7666666666666667,0.16066666666666662,0.0,6.0,0.38257142857142856
0.0,nonbridge_biased,8,0.8,0.15829166666666666,0.0,6.0,0.27214285714285713
0.0,nonbridge_biased,9,0.7833333333333333,0.13524999999999998,0.0,6.0,0.28485714285714286
0.0,nonbridge_biased,10,0.8458333333333333,0.21212499999999998,0.0,6.0,0.23842857142857143
0.0,nonbridge_biased,11,0.8125,0.14887499999999998,0.0,6.0,0.37557142857142856
0.0,nonbridge_biased,12,0.7916666666666666,0.12604166666666666,0.0,6.0,0.18857142857142856
0.0,nonbridge_biased,13,0.8333333333333334,0.14816666666666667,0.0,6.0,0.2581428571428571
0.0,nonbridge_biased,14,0.7958333333333333,0.13179166666666664,0.0,6.0,0.39028571428571424
0.0,nonbridge_biased,15,0.7291666666666666,0.1495,0.0,6.0,0.3527142857142857
0.0,nonbridge_biased,16,0.8,0.13545833333333332,0.0,6.0,0.20828571428571427
0.0,nonbridge_biased,17,0.8041666666666667,0.14712499999999998,0.0,6.0,0.3117142857142857
0.0,nonbridge_biased,18,0.7416666666666667,0.14445833333333333,0.0,6.0,0.35928571428571426
0.0,nonbridge_biased,19,0.8458333333333333,0.14908333333333335,0.0,6.0,0.3402857142857143
0.0,nonbridge_biased,20,0.7708333333333334,0.1514583333333333,0.0,6.0,0.25671428571428573
0.0,nonbridge_biased,21,0.775,0.13183333333333333,0.0,6.0,0.26157142857142857
0.0,nonbridge_biased,22,0.8,0.14708333333333332,0.0,6.0,0.2894285714285714
0.0,nonbridge_biased,23,0.8166666666666667,0.14116666666666666,0.0,6.0,0.27242857142857146
0.0,nonbridge_biased,24,0.7833333333333333,0.1398333333333333,0.0,6.0,0.33728571428571436
